country,PobUnemp2019,mensualsalary2019,Porcentpobreza2019,PBIpercapita2019,Infla2019,hdi_2019,GINI2019,CPI2019,caldemo2019,protestnumber
Guyana,13.9919996261597,380358400.968644,11.9,6609.51127954588,2.0872308916202,0.708,44.6,40,0.654,1
Honduras,5.69999980926514,5401465664.93251,12.7,2574.35675105143,4.36587159819272,0.632,52.1,26,0.38,8
Croatia,6.61999988555908,4280379502.49387,0.3,15311.766903695,0.771820346498083,0.861,30.4,47,0.733,4
Haiti,13.914999961853,3026149513.65524,29.2,1312.77063606676,18.7037825672506,0.543,41.1,18,0.412,15
Hungary,3.42000007629395,4964320442.23079,0.3,16735.6597794761,3.3385863538201,0.853,30.6,44,0.46,6
Indonesia,3.61999988555908,11666395059.1407,4.4,4135.23334351202,3.03058664969491,0.716,37.8,40,0.622,6
India,5.26999998092651,83332078002.3032,10,2072.24489735041,3.72950573539126,0.645,35.7,41,0.46,23
Ireland,4.94999980926514,586686133.468616,0,80886.6157387104,0.939044481054341,0.942,32.8,74,0.876,6
Iran,10.7399997711182,1.33e+09,1.1,3514.0421682578,39.9073455697783,0.783,40.8,26,0.207,5
Iraq,12.8629999160767,859200000,0.1,5943.45845510233,-0.198965380023871,0.696,29.5,20,0.393,19
Italy,9.94999980926514,10458515879.0042,1.5,33673.4754474484,0.611246943765291,0.897,35.9,53,0.859,6
Jamaica,7.69000005722046,2562542094.73911,1.2,5369.4983713849,3.90510000865876,0.719,35,43,0.813,1
Jordan,16.8099994659424,4652535211.2676,0,4405.48710929391,0.761514047265513,0.727,33.7,48,0.268,1
Japan,2.40000009536743,4388723265.72254,0.7,40458.0018755824,0.468776159383912,0.924,32.9,73,0.833,1
Kazakhstan,4.80000019073486,506076000.839177,0,9812.5958082732,5.24547679608388,0.819,27.5,34,0.237,5
Kenya,5.01000022888184,2838192215.41577,29.4,1909.30453654793,5.23585999425422,0.581,40.8,28,0.458,3
Kyrgyzstan,6.91800022125244,2410507184.54596,0.7,1374.03210467421,1.13362257718798,0.698,27.7,30,0.437,2
South Korea,3.75,7166100000,0.2,31902.4169048194,0.383000303608079,0.923,35.4,59,0.849,2
Liberia,3.01500010490417,346244091.574358,27.6,672.340499220841,23.5635148953742,0.484,35.3,28,0.61,4
Sri Lanka,4.34999990463257,6748702044.3482,1.3,3848.21237640698,3.52839358231809,0.778,39.8,38,0.594,4
Lesotho,22.4400005340576,543706903.648001,32.4,1153.38805839164,5.18708359197993,0.524,44.9,40,0.63,1
Lithuania,6.26000022888184,1303940311.17964,0.5,19575.7684814071,2.33450937988024,0.884,37.3,60,0.825,1
Luxembourg,5.59000015258789,2041361755.82717,0.1,113218.713349678,1.74332075653843,0.927,34.9,80,0.878,1
Latvia,6.30999994277954,1142611838.12228,0.2,17926.841589919,2.81140920075622,0.871,35.6,56,0.831,1
Morocco,9.27999973297119,6962578453.17234,1.4,3235.00073242188,0.303386036590361,0.682,39.5,41,0.262,7
Moldova,5.09999990463257,1909910000,0,4492.10574015947,4.83778351428723,0.774,25.7,32,0.597,1
Madagascar,1.85699999332428,407676204.197602,80.7,526.224572187601,5.61051441492366,0.51,42.6,24,0.485,4
Mexico,3.48000001907349,39021789685,2.6,9950.2176218348,3.6359614212705,0.779,36.8,29,0.669,5
Macedonia,17.2600002288818,317088137,3.4,6070.38805358275,0.766439573459688,0.784,34.2,35,0.601,5
Mali,7.44199991226196,971700936.136416,14.8,879.043167526284,-1.65826694846368,0.433,40.1,29,0.487,7
Montenegro,15.1199998855591,584315521.917428,2.8,8909.89015110329,0.361563704540798,0.837,39,45,0.458,3
Mongolia,5.43900012969971,560930420.374501,0.7,4404.84583020208,7.30481597480148,0.746,32.7,35,0.658,2
Mozambique,3.46600008010864,299567589.191752,64.6,506.817139131225,2.78110631182942,0.456,54,26,0.393,1
Mauritania,10.3929996490479,64458913.6407564,6.5,1743.30131716071,2.30009262117938,0.563,32.6,28,0.401,1
Mauritius,6.32999992370605,318511666.223381,0.1,11097.168977137,0.405655190309511,0.817,36.8,52,0.764,1
Malawi,5.7519998550415,280913154.558341,70.1,591.847083709889,9.37083605605672,0.519,44.7,31,0.489,13
Malaysia,3.25999999046326,1597353741.92284,0,11432.8260346567,0.662891865764376,0.81,41,53,0.477,1
Namibia,19.988000869751,65593517.2338819,15.6,5028.29534239511,3.72239414422688,0.639,59.1,52,0.689,1
Niger,0.554000020027161,308661888.805164,50.6,554.099389259855,-2.48979265070851,0.406,34.3,32,0.531,1
Nigeria,8.52999973297119,23809281401.0144,30.9,2229.8586518613,11.3967949687168,0.538,35.1,26,0.53,18
Nicaragua,5.21099996566772,1686400000,3.9,1924.4718155705,5.3762899084413,0.664,46.2,22,0.231,6
Netherlands,3.38000011444092,2234076587.98699,0.1,52476.2732533327,2.63369910249593,0.943,28.5,82,0.87,1
Norway,3.69000005722046,615742173.230997,0.2,75719.7528965342,2.16773003305405,0.961,27,84,0.892,1
Nepal,3.09699988365173,8244465869.48491,8.2,1194.95723579184,5.56868547784925,0.611,32.8,34,0.585,4
Pakistan,3.54200005531311,2.2252e+10,4.9,1481.81386417347,10.5783618004555,0.546,33.5,32,0.351,3
Panama,4.72599983215332,580854157,1,15774.2549523836,-0.355083821021212,0.817,49.2,36,0.738,1
Peru,3.38000011444092,3325921218.81313,3,7023.07752627143,2.25212191358024,0.78,42.8,36,0.785,2
Philippines,2.24000000953674,35167471832.1845,3,3485.34084390091,2.39206534422402,0.718,44.4,34,0.458,2
Papua New Guinea,2.44899988174438,3e+06,39.7,2820.30639749593,3.92867290939598,0.56,50.9,28,0.428,1
Poland,3.27999997138977,7.063e+09,0.2,15732.2031311754,2.227478809383,0.881,29.7,58,0.69,5
Portugal,6.46000003814697,617601901.893932,0.1,23330.817288932,0.338178410046125,0.867,33.8,62,0.893,2
Paraguay,6.59000015258789,665990282.4938,1,5383.57442150776,2.7570972756279,0.732,46.2,28,0.577,1
Romania,3.91000008583069,8142029279.29984,2.2,12899.3461112897,3.82785432599428,0.832,36,44,0.703,4
Russia,4.5,10432480000,0,11536.2509765625,4.47036660760175,0.845,37.5,28,0.268,14
Rwanda,1.09800004959106,260710294.704425,52,820.177239282094,3.3478765503764,0.534,43.7,53,0.238,1
Sudan,17.6539993286133,522317287.755546,,755.328979492188,50.9940515002971,0.514,34.2,16,0.217,28
Senegal,2.85999989509583,2522205664.88,9.3,1435.83036653076,1.75856517595659,0.513,40.3,45,0.731,1
Sierra Leone,4.64900016784668,68081022.8102885,26.1,521.754836722241,14.8030585681759,0.48,35.7,33,0.544,1
El Salvador,4.17000007629395,5656754219.242,1.4,4167.73093878563,0.0753241350024327,0.683,38.6,34,0.64,1
Serbia,10.3900003433228,4237925900.80366,2.3,7417.20364852201,1.8492298451109,0.811,36.2,39,0.361,19
South Sudan,12.2259998321533,80440000,67.3,1119.65143716565,87.2413641500032,0.393,46,12,0.174,1
Slovakia,5.75,2544685949.43086,0.1,19303.5456581383,2.66456133425443,0.862,25.2,50,0.832,3
